Español;Ingles
Gira a la izquierda en la esquina de la cuadra.;Turn left at the corner of the block.
Sigue derecho hasta ver el monumento.;Go straight until you see the monument.
Cruza la calle en el paso de peatones.;Cross the street at the crosswalk.
Sube por el ascensor al tercer piso.;Take the elevator up to the third floor.
Baja en la siguiente estación.;Get off at the next station.
El cine está detrás del centro comercial.;The cinema is behind the shopping mall.
Camina en dirección opuesta.;Walk in the opposite direction.
Toma el desvío a la derecha.;Take the detour to the right.
Está justo pasando la gasolinera.;It is just past the gas station.
Sigue recto por dos kilómetros.;Go straight for two kilometers.
Gira a la derecha antes del puente.;Turn right before the bridge.
El museo queda a mano izquierda.;The museum is on the left-hand side.
La tienda está a mano derecha.;The shop is on the right-hand side.
Camina hacia la torre alta.;Walk toward the tall tower.
Cruza la plaza central.;Cross the central square.
El restaurante está al lado del banco.;The restaurant is next to the bank.
Busca la puerta de color verde.;Look for the green door.
Está entre la oficina de correos y la escuela.;It is between the post office and the school.
Sigue las señales que dicen 'Salida'.;Follow the signs that say 'Exit'.
Baja las escaleras mecánicas.;Go down the escalators.
Sube por la rampa principal.;Go up the main ramp.
Gira a la izquierda en la rotonda.;Turn left at the roundabout.
Está a la vuelta de ese edificio.;It is around the corner of that building.
No te pases de la esquina.;Do not go past the corner.
Camina media cuadra más.;Walk half a block more.
Está justo enfrente de la estación.;It is right opposite the station.
Sigue este camino hasta el final.;Follow this path to the end.
Gira a la derecha después del parque.;Turn right after the park.
Cruza la avenida con cuidado.;Cross the avenue carefully.
El destino está justo aquí.;The destination is right here.
Camina junto a la pared gris.;Walk along the grey wall.
Entra por el pasillo de la izquierda.;Enter through the left hallway.
La cafetería está arriba de la librería.;The cafe is above the bookstore.
El estacionamiento está abajo del edificio.;The parking lot is below the building.
Sigue todo derecho hacia el sur.;Go straight towards the south.
Gira a la izquierda en el segundo semáforo.;Turn left at the second traffic light.
Pasa la biblioteca y luego gira.;Pass the library and then turn.
Está a unos metros de la playa.;It is a few meters from the beach.
Ve por el camino del medio.;Go down the middle path.
Toma la segunda calle a la derecha.;Take the second street on the right.
Toma la tercera calle a la izquierda.;Take the third street on the left.
Está situado frente al mercado.;It is located in front of the market.
Camina bordeando el lago.;Walk around the lake.
Sigue las flechas amarillas.;Follow the yellow arrows.
La oficina está al final del pasillo.;The office is at the end of the hall.
Gira hacia atrás en este cruce.;Turn back at this junction.
Cruza por el puente de madera.;Cross the wooden bridge.
Está muy cerca de la catedral.;It is very close to the cathedral.
Camina en línea recta hacia allí.;Walk in a straight line over there.
Termina el recorrido frente al teatro.;End the tour in front of the theater.
