Español;Ingles
Incorpórese a la rotonda y tome la tercera salida en dirección a la autovía del norte.;Merge into the roundabout and take the third exit towards the northern highway.
Continúe recto hasta que el camino se bifurque. allí, tome el ramal izquierdo.;Keep going straight until the road forks. there, take the left branch.
Siga por el carril derecho para tomar la salida que conduce al distrito financiero.;Stay in the right lane to take the exit leading to the financial district.
Al llegar a la intersección regulada por semáforos, gire a la derecha con precaución.;Upon reaching the light-controlled intersection, turn right with caution.
El establecimiento se encuentra inmediatamente después del paso elevado de la autopista.;The establishment is located immediately after the highway overpass.
Bordeé la plaza principal y adéntrese por el callejón peatonal adoquinado.;Go around the main square and enter the cobblestone pedestrian alley.
Si llega a la estación de servicio, significa que se ha pasado del desvío correcto.;If you reach the service station, it means you have missed the correct turn-off.
Cruce el vestíbulo principal y suba por las escaleras mecánicas que están a su izquierda.;Cross the main lobby and go up the escalators located on your left.
Siga las indicaciones que marcan el camino hacia la terminal de salidas internacionales.;Follow the signs pointing the way toward the international departures terminal.
Atraviese el parque botánico por el sendero principal hasta divisar la fuente central.;Walk through the botanical garden along the main path until you spot the central fountain.
El despacho que busca está situado al fondo del pasillo, justo pasando el área de descanso.;The office you are looking for is located at the end of the hallway, just past the break area.
Gire a la izquierda en el cruce de peatones y camine en paralelo a la vía del tranvía.;Turn left at the pedestrian crossing and walk parallel to the tram line.
Suba la colina empinada y encontrará el mirador inmediatamente a mano derecha.;Go up the steep hill and you will find the viewpoint immediately on the right-hand side.
Tome el paso subterráneo para evitar el denso tráfico de la avenida principal.;Take the underpass to avoid the heavy traffic on the main avenue.
Debe retroceder unos cincuenta metros hasta encontrar el acceso lateral del edificio.;You must go back about fifty meters until you find the side entrance of the building.
Siga recto por este sendero forestal hasta llegar al puente colgante de madera.;Continue straight along this forest trail until you reach the wooden suspension bridge.
El muelle de embarque está ubicado bajando por la rampa que da hacia el puerto deportivo.;The boarding pier is located down the ramp that faces the marina.
Gire a la derecha inmediatamente antes del arco histórico que delimita el casco antiguo.;Turn right immediately before the historic archway bordering the old town.
Camine a lo largo del paseo marítimo hasta que visualice el faro en el horizonte.;Walk along the promenade until you see the lighthouse on the horizon.
La entrada de emergencias está situada en la parte trasera de las instalaciones médicas.;The emergency entrance is located at the rear of the medical facilities.
Siga la carretera de circunvalación y tome la salida número doce hacia el centro urbano.;Follow the ring road and take exit number twelve toward the city center.
Suba las escaleras de caracol situadas en la esquina suroeste del patio.;Go up the spiral staircase located in the southwest corner of the courtyard.
El mostrador de información está estratégicamente ubicado frente a las puertas giratorias.;The information desk is strategically located in front of the revolving doors.
Cruce la intersección en diagonal una vez que el semáforo peatonal se ponga en verde.;Cross the intersection diagonally once the pedestrian light turns green.
Camine pegado a la fachada de piedra hasta encontrar un pequeño letrero de bronce.;Walk close to the stone facade until you find a small bronze sign.
Siga el curso del riachuelo hasta que este desemboque en la cascada principal.;Follow the course of the stream until it flows into the main waterfall.
Gire a la izquierda en el siguiente callejón sin salida para encontrar el estacionamiento privado.;Turn left into the next cul-de-sac to find the private parking lot.
El auditorio se encuentra en la planta semisótano, accesible por la rampa de seguridad.;The auditorium is located in the semi-basement floor, accessible via the safety ramp.
Cruce la pasarela de cristal que conecta ambos rascacielos en el piso quince.;Cross the glass skybridge connecting both skyscrapers on the fifteenth floor.
Siga las huellas verdes pintadas en el suelo destinadas al recorrido autoguiado.;Follow the green footprints painted on the floor intended for the self-guided tour.
La parada de taxis está convenientemente situada justo al salir de la terminal de trenes.;The taxi stand is conveniently located just outside the train terminal.
