El reloj está colgado en la pared.,The clock is hanging on the wall.
Hay una alfombra debajo de la silla.,There is a rug under the chair.
El juguete está metido dentro de la mochila.,The toy is inside the backpack.
El gato mira hacia fuera.,The cat is looking outside.
Ponte junto a la puerta.,Stand next to the door.
El estacionamiento está detrás del hotel.,The parking lot is behind the hotel.
El coche se detuvo frente a la tienda.,The car stopped in front of the shop.
La lámpara cuelga arriba de la mesa.,The lamp hangs above the table.
El río pasa por abajo del puente.,The river passes below the bridge.
El niño camina entre sus padres.,The child walks between his parents.
Deja las bolsas aquí.,Leave the bags here.
Hay humo por allá.,There is smoke over there.
La biblioteca está al lado derecho.,The library is on the right side.
El baño está al lado izquierdo.,The bathroom is on the left side.
La escuela queda bastante cerca.,The school is quite near.
Ese país está muy lejos.,That country is very far away.
El cargador está junto a la cama.,The charger is next to the bed.
El helicóptero vuela arriba.,The helicopter flies up above.
El sótano queda abajo.,The basement is downstairs.
Pon la leche dentro de la nevera.,Put the milk inside the fridge.
Esperemos fuera del restaurante.,Let's wait outside the restaurant.
La parada está junto a la plaza.,The stop is beside the square.
Sigue caminando hacia adelante.,Keep walking forward.
Da dos pasos hacia atrás.,Take two steps backward.
El ascensor va hacia arriba.,The elevator is going up.
El ascensor va hacia abajo.,The elevator is going down.
El patio está detrás del edificio.,The courtyard is behind the building.
El teatro está enfrente de la plaza.,The theater is opposite the square.
El plato está sobre el mantel.,The plate is on the tablecloth.
La moneda rodó debajo del mueble.,The coin rolled under the furniture.
Guarda los papeles dentro del sobre.,Keep the papers inside the envelope.
La ropa está fuera del armario.,The clothes are outside the closet.
Siéntate junto al fuego.,Sit beside the fire.
Alguien camina detrás de nosotros.,Someone is walking behind us.
El profesor habla frente a la clase.,The teacher speaks in front of the class.
El puente está arriba del canal.,The bridge is above the canal.
El valle está abajo de la colina.,The valley is below the hill.
El número dos está entre el uno y el tres.,The number two is between one and three.
Espérame aquí mismo.,Wait for me right here.
El autobús nos dejará allá.,The bus will drop us over there.
Tu cartera está a la derecha.,Your wallet is on the right.
La farmacia está a la izquierda.,The pharmacy is on the left.
Mi trabajo queda muy cerca.,My job is very close.
La estación está lejos de la playa.,The station is far from the beach.
Coloca la silla junto al escritorio.,Place the chair next to the desk.
El sol está justo arriba de la montaña.,The sun is right above the mountain.
La temperatura bajó del cero.,The temperature dropped below zero.
Introduce la llave dentro de la cerradura.,Insert the key inside the lock.
El humo va hacia afuera.,The smoke is going outside.
La farmacia está junto al supermercado.,The pharmacy is next to the supermarket.
