Español;Ingles
Sigue recto por esta calle.;Go straight along this street.
Gira a la derecha en la esquina.;Turn right at the corner.
Gira a la izquierda después del banco.;Turn left after the bank.
Cruza la calle con cuidado.;Cross the street carefully.
Camina dos cuadras hacia adelante.;Walk two blocks forward.
Pasa el supermercado y detente.;Pass the supermarket and stop.
Está justo detrás de la iglesia.;It is right behind the church.
La entrada está frente al parque.;The entrance is in front of the park.
Sube las escaleras hasta el segundo piso.;Go up the stairs to the second floor.
Baja por la rampa de la derecha.;Go down the ramp on the right.
El hotel está al final de la avenida.;The hotel is at the end of the avenue.
Toma la primera salida de la rotonda.;Take the first exit at the roundabout.
Sigue las señales hacia el centro.;Follow the signs to the center.
Está a mano derecha.;It is on the right-hand side.
Está a mano izquierda.;It is on the left-hand side.
Camina hacia el semáforo.;Walk toward the traffic light.
Cruza el puente peatonal.;Cross the pedestrian bridge.
Gira hacia atrás en la siguiente calle.;Turn back at the next street.
Está entre la librería y el café.;It is between the bookstore and the cafe.
Camina junto al río.;Walk beside the river.
Entra por la puerta principal.;Enter through the main door.
Sal por la puerta trasera.;Exit through the back door.
Está a unos pasos de aquí.;It is a few steps from here.
Camina en dirección al norte.;Walk in the direction of north.
Sigue el camino de tierra.;Follow the dirt path.
Gira a la derecha en el cruce.;Turn right at the intersection.
Pasa por debajo del puente.;Go under the bridge.
Sube por la colina.;Go up the hill.
Baja hasta el metro.;Go down to the subway.
Está al lado del hospital.;It is next to the hospital.
Busca el edificio alto de cristal.;Look for the tall glass building.
Sigue todo derecho hasta el fondo.;Go all the way straight to the end.
Gira a la izquierda en el semáforo.;Turn left at the traffic light.
Está frente a la estación de tren.;It is opposite the train station.
Camina rodeando la plaza.;Walk around the square.
Cruza el parque en diagonal.;Cross the park diagonally.
Está a la vuelta de la esquina.;It is just around the corner.
Sigue este pasillo hasta el final.;Follow this hallway to the end.
Toma el ascensor hasta el sótano.;Take the elevator to the basement.
Está justo enfrente de ti.;It is right in front of you.
No cruces la avenida principal.;Do not cross the main avenue.
Camina una cuadra más.;Walk one more block.
Gira a la derecha después de la escuela.;Turn right after the school.
Está cerca de la parada de autobús.;It is near the bus stop.
El destino está de ese lado.;The destination is on that side.
Ven por este camino.;Come this way.
Ve por aquella calle.;Go down that street.
Sigue las flechas en el suelo.;Follow the arrows on the floor.
El local está junto a la farmacia.;The shop is next to the pharmacy.
Termina tu recorrido aquí.;End your route here.
